Team,Year,RS,RA,W,OBP,SLG,BA
ANA,2002,851,644,99,0.341,0.433,0.282
ARI,2002,819,674,98,0.346,0.423,0.267
ATL,2002,708,565,101,0.331,0.409,0.26
BAL,2002,667,773,67,0.309,0.403,0.246
BOS,2002,859,665,93,0.345,0.444,0.277
CHC,2002,706,759,67,0.321,0.413,0.246
CHW,2002,856,798,81,0.338,0.449,0.268
CIN,2002,709,774,78,0.33,0.408,0.253
CLE,2002,739,837,74,0.321,0.412,0.249
COL,2002,778,898,73,0.337,0.423,0.274
DET,2002,575,864,55,0.3,0.379,0.248
FLA,2002,699,763,79,0.337,0.403,0.261
HOU,2002,749,695,84,0.338,0.417,0.262
KCR,2002,737,891,62,0.323,0.398,0.256
LAD,2002,713,643,92,0.32,0.409,0.264
MIL,2002,627,821,56,0.32,0.39,0.253
MIN,2002,768,712,94,0.332,0.437,0.272
MON,2002,735,718,83,0.334,0.418,0.261
NYM,2002,690,703,75,0.322,0.395,0.256
NYY,2002,897,697,103,0.354,0.455,0.275
OAK,2002,800,654,103,0.339,0.432,0.261
PHI,2002,710,724,80,0.339,0.422,0.259
PIT,2002,641,730,72,0.319,0.381,0.244
SDP,2002,662,815,66,0.321,0.381,0.253
SEA,2002,814,699,93,0.35,0.419,0.275
SFG,2002,783,616,95,0.344,0.442,0.267
STL,2002,787,648,97,0.338,0.425,0.268
TBD,2002,673,918,55,0.314,0.39,0.253
TEX,2002,843,882,72,0.338,0.455,0.269
TOR,2002,813,828,78,0.327,0.43,0.261
ANA,2001,691,730,75,0.327,0.405,0.261
ARI,2001,818,677,92,0.341,0.442,0.267
ATL,2001,729,643,88,0.324,0.412,0.26
BAL,2001,687,829,63,0.319,0.38,0.248
BOS,2001,772,745,82,0.334,0.439,0.266
CHC,2001,777,701,88,0.336,0.43,0.261
CHW,2001,798,795,83,0.334,0.451,0.268
CIN,2001,735,850,66,0.324,0.419,0.262
CLE,2001,897,821,91,0.35,0.458,0.278
COL,2001,923,906,73,0.354,0.483,0.292
DET,2001,724,876,66,0.32,0.409,0.26
FLA,2001,742,744,76,0.326,0.423,0.264
HOU,2001,847,769,93,0.347,0.451,0.271
KCR,2001,729,858,65,0.318,0.409,0.266
LAD,2001,758,744,86,0.323,0.425,0.255
MIL,2001,740,806,68,0.319,0.426,0.251
MIN,2001,771,766,85,0.337,0.433,0.272
MON,2001,670,812,68,0.319,0.396,0.253
NYM,2001,642,713,82,0.323,0.387,0.249
NYY,2001,804,713,95,0.334,0.435,0.267
OAK,2001,884,645,102,0.345,0.439,0.264
PHI,2001,746,719,86,0.329,0.414,0.26
PIT,2001,657,858,62,0.313,0.393,0.247
SDP,2001,789,812,79,0.336,0.399,0.252
SEA,2001,927,627,116,0.36,0.445,0.288
SFG,2001,799,748,90,0.342,0.46,0.266
STL,2001,814,684,93,0.339,0.441,0.27
TBD,2001,672,887,62,0.32,0.388,0.258
TEX,2001,890,968,73,0.344,0.471,0.275
TOR,2001,767,753,80,0.325,0.43,0.263
ANA,2000,864,869,82,0.352,0.472,0.28
ARI,2000,792,754,85,0.333,0.429,0.265
ATL,2000,810,714,95,0.346,0.429,0.271
BAL,2000,794,913,74,0.341,0.435,0.272
BOS,2000,792,745,85,0.341,0.423,0.267
CHC,2000,764,904,65,0.335,0.411,0.256
CHW,2000,978,839,95,0.356,0.47,0.286
CIN,2000,825,765,85,0.343,0.447,0.274
CLE,2000,950,816,90,0.367,0.47,0.288
COL,2000,968,897,82,0.362,0.455,0.294
DET,2000,823,827,79,0.343,0.438,0.275
FLA,2000,731,797,79,0.331,0.409,0.262
HOU,2000,938,944,72,0.361,0.477,0.278
KCR,2000,879,930,77,0.348,0.425,0.288
LAD,2000,798,729,86,0.341,0.431,0.257
MIL,2000,740,826,73,0.325,0.403,0.246
MIN,2000,748,880,69,0.337,0.407,0.27
MON,2000,738,902,67,0.326,0.432,0.266
NYM,2000,807,738,94,0.346,0.43,0.263
NYY,2000,871,814,87,0.354,0.45,0.277
OAK,2000,947,813,91,0.36,0.458,0.27
PHI,2000,708,830,65,0.329,0.4,0.251
PIT,2000,793,888,69,0.339,0.424,0.267
SDP,2000,752,815,76,0.33,0.402,0.254
SEA,2000,907,780,91,0.361,0.442,0.269
SFG,2000,925,747,97,0.362,0.472,0.278
STL,2000,887,771,95,0.356,0.455,0.27
TBD,2000,733,842,69,0.329,0.399,0.257
TEX,2000,848,974,71,0.352,0.446,0.283
TOR,2000,861,908,83,0.341,0.469,0.275
ANA,1999,711,826,70,0.322,0.395,0.256
ARI,1999,908,676,100,0.347,0.459,0.277
ATL,1999,840,661,103,0.341,0.436,0.266
BAL,1999,851,815,78,0.353,0.447,0.279
BOS,1999,836,718,94,0.35,0.448,0.278
CHC,1999,747,920,67,0.329,0.42,0.257
CHW,1999,777,870,75,0.337,0.429,0.277
CIN,1999,865,711,96,0.341,0.451,0.272
CLE,1999,1009,860,97,0.373,0.467,0.289
COL,1999,906,1028,72,0.348,0.472,0.288
DET,1999,747,882,69,0.326,0.443,0.261
FLA,1999,691,852,64,0.325,0.395,0.263
HOU,1999,823,675,97,0.355,0.42,0.267
KCR,1999,856,921,64,0.348,0.433,0.282
LAD,1999,793,787,77,0.339,0.42,0.266
MIL,1999,815,886,74,0.353,0.426,0.273
MIN,1999,686,845,63,0.328,0.384,0.264
MON,1999,718,853,68,0.323,0.427,0.265
NYM,1999,853,711,97,0.363,0.434,0.279
NYY,1999,900,731,98,0.366,0.453,0.282
OAK,1999,893,846,87,0.355,0.446,0.259
PHI,1999,841,846,77,0.351,0.431,0.275
PIT,1999,775,782,78,0.334,0.419,0.259
SDP,1999,710,781,74,0.332,0.393,0.252
SEA,1999,859,905,79,0.343,0.455,0.269
SFG,1999,872,831,86,0.356,0.434,0.271
STL,1999,809,838,75,0.338,0.426,0.262
TBD,1999,772,913,69,0.343,0.411,0.274
TEX,1999,945,859,95,0.361,0.479,0.293
TOR,1999,883,862,84,0.352,0.457,0.28
ANA,1998,787,783,85,0.335,0.415,0.272
ARI,1998,665,812,65,0.314,0.393,0.246
ATL,1998,826,581,106,0.342,0.453,0.272
BAL,1998,817,785,79,0.347,0.447,0.273
BOS,1998,876,729,92,0.348,0.463,0.28
CHC,1998,831,792,90,0.337,0.433,0.264
CHW,1998,861,931,80,0.339,0.444,0.271
CIN,1998,750,760,77,0.337,0.402,0.262
CLE,1998,850,779,89,0.347,0.448,0.272
COL,1998,826,855,77,0.347,0.461,0.291
DET,1998,722,863,65,0.323,0.415,0.264
FLA,1998,667,923,54,0.317,0.373,0.248
HOU,1998,874,620,102,0.356,0.436,0.28
KCR,1998,714,899,72,0.324,0.399,0.263
LAD,1998,669,678,83,0.31,0.387,0.252
MIL,1998,707,812,74,0.33,0.396,0.26
MIN,1998,734,818,70,0.328,0.389,0.266
MON,1998,644,783,65,0.31,0.394,0.249
NYM,1998,706,645,88,0.33,0.394,0.259
NYY,1998,965,656,114,0.364,0.46,0.288
OAK,1998,804,866,74,0.338,0.397,0.257
PHI,1998,713,808,75,0.326,0.395,0.264
PIT,1998,650,718,69,0.311,0.374,0.254
SDP,1998,749,635,98,0.33,0.409,0.253
SEA,1998,859,855,76,0.345,0.468,0.276
SFG,1998,845,739,89,0.353,0.421,0.274
STL,1998,810,782,83,0.341,0.441,0.258
TBD,1998,620,751,63,0.321,0.385,0.261
TEX,1998,940,871,88,0.357,0.462,0.289
TOR,1998,816,768,88,0.34,0.448,0.266
ANA,1997,829,794,84,0.346,0.416,0.272
ATL,1997,791,581,101,0.343,0.426,0.27
BAL,1997,812,681,98,0.341,0.429,0.268
BOS,1997,851,857,78,0.352,0.463,0.291
CHC,1997,687,759,68,0.321,0.396,0.263
CHW,1997,779,833,80,0.341,0.417,0.273
CIN,1997,651,764,76,0.321,0.389,0.253
CLE,1997,868,815,86,0.358,0.467,0.286
COL,1997,923,908,83,0.357,0.478,0.288
DET,1997,784,790,79,0.332,0.415,0.258
FLA,1997,740,669,92,0.346,0.395,0.259
HOU,1997,777,660,84,0.344,0.403,0.259
KCR,1997,747,820,67,0.333,0.407,0.264
LAD,1997,742,645,88,0.33,0.418,0.268
MIL,1997,681,742,78,0.325,0.398,0.26
MIN,1997,772,861,68,0.333,0.409,0.27
MON,1997,691,740,78,0.316,0.425,0.258
NYM,1997,777,709,88,0.332,0.405,0.262
NYY,1997,891,688,96,0.362,0.436,0.287
OAK,1997,764,946,65,0.339,0.423,0.26
PHI,1997,668,840,68,0.322,0.385,0.255
PIT,1997,725,760,79,0.329,0.404,0.262
SDP,1997,795,891,76,0.342,0.407,0.271
SEA,1997,925,833,90,0.355,0.485,0.28
SFG,1997,784,793,90,0.337,0.414,0.258
STL,1997,689,708,73,0.324,0.396,0.255
TEX,1997,807,823,77,0.334,0.438,0.274
TOR,1997,654,694,76,0.31,0.389,0.244
ATL,1996,773,648,96,0.333,0.432,0.27
BAL,1996,949,903,88,0.35,0.472,0.274
BOS,1996,928,921,85,0.359,0.457,0.283
CAL,1996,762,943,70,0.339,0.431,0.276
CHC,1996,772,771,76,0.32,0.401,0.251
CHW,1996,898,794,85,0.36,0.447,0.281
CIN,1996,778,773,81,0.331,0.422,0.256
CLE,1996,952,769,99,0.369,0.475,0.293
COL,1996,961,964,83,0.355,0.472,0.287
DET,1996,783,1103,53,0.323,0.42,0.256
FLA,1996,688,703,80,0.329,0.393,0.257
HOU,1996,753,792,82,0.336,0.397,0.262
KCR,1996,746,786,75,0.332,0.398,0.267
LAD,1996,703,652,90,0.316,0.384,0.252
MIL,1996,894,899,80,0.353,0.441,0.279
MIN,1996,877,900,78,0.357,0.425,0.288
MON,1996,741,668,88,0.327,0.406,0.262
NYM,1996,746,779,71,0.324,0.412,0.27
NYY,1996,871,787,92,0.36,0.436,0.288
OAK,1996,861,900,78,0.344,0.452,0.265
PHI,1996,650,790,67,0.325,0.387,0.256
PIT,1996,776,833,73,0.329,0.407,0.266
SDP,1996,771,682,91,0.338,0.402,0.265
SEA,1996,993,895,85,0.366,0.484,0.287
SFG,1996,752,862,68,0.331,0.388,0.253
STL,1996,759,706,88,0.33,0.407,0.267
TEX,1996,928,799,90,0.358,0.469,0.284
TOR,1996,766,809,74,0.331,0.42,0.259
ATL,1993,767,559,104,0.331,0.408,0.262
BAL,1993,786,745,85,0.346,0.413,0.267
BOS,1993,686,698,80,0.33,0.395,0.264
CAL,1993,684,770,71,0.331,0.38,0.26
CHC,1993,738,739,84,0.325,0.414,0.27
CHW,1993,776,664,94,0.338,0.411,0.265
CIN,1993,722,785,73,0.324,0.396,0.264
CLE,1993,790,813,76,0.335,0.409,0.275
COL,1993,758,967,67,0.323,0.422,0.273
DET,1993,899,837,85,0.362,0.434,0.275
FLA,1993,581,724,64,0.314,0.346,0.248
HOU,1993,716,630,85,0.33,0.409,0.267
KCR,1993,675,694,84,0.32,0.397,0.263
LAD,1993,675,662,81,0.321,0.383,0.261
MIL,1993,733,792,69,0.328,0.378,0.258
MIN,1993,693,830,71,0.327,0.385,0.264
MON,1993,732,682,94,0.326,0.386,0.257
NYM,1993,672,744,59,0.305,0.39,0.248
NYY,1993,821,761,88,0.353,0.435,0.279
OAK,1993,715,846,68,0.33,0.394,0.254
PHI,1993,877,740,97,0.351,0.426,0.274
PIT,1993,707,806,75,0.335,0.393,0.267
SDP,1993,679,772,61,0.312,0.389,0.252
SEA,1993,734,731,82,0.339,0.406,0.26
SFG,1993,808,636,103,0.34,0.427,0.276
STL,1993,758,744,87,0.341,0.395,0.272
TEX,1993,835,751,86,0.329,0.431,0.267
TOR,1993,847,742,95,0.35,0.436,0.279
ATL,1992,682,569,98,0.316,0.388,0.254
BAL,1992,705,656,89,0.34,0.398,0.259
BOS,1992,599,669,73,0.321,0.347,0.246
CAL,1992,579,671,72,0.301,0.338,0.243
CHC,1992,593,624,78,0.307,0.364,0.254
CHW,1992,738,690,86,0.336,0.383,0.261
CIN,1992,660,609,90,0.328,0.382,0.26
CLE,1992,674,746,76,0.323,0.383,0.266
DET,1992,791,794,75,0.337,0.407,0.256
HOU,1992,608,668,81,0.313,0.359,0.246
KCR,1992,610,667,72,0.315,0.364,0.256
LAD,1992,548,636,63,0.313,0.339,0.248
MIL,1992,740,604,92,0.33,0.375,0.268
MIN,1992,747,653,90,0.341,0.391,0.277
MON,1992,648,581,87,0.313,0.37,0.252
NYM,1992,599,653,72,0.31,0.342,0.235
NYY,1992,733,746,76,0.328,0.406,0.261
OAK,1992,745,672,96,0.346,0.386,0.258
PHI,1992,686,717,70,0.32,0.377,0.253
PIT,1992,693,595,96,0.324,0.381,0.255
SDP,1992,617,636,82,0.313,0.386,0.255
SEA,1992,679,799,64,0.323,0.402,0.263
SFG,1992,574,647,72,0.302,0.355,0.244
STL,1992,631,604,83,0.323,0.375,0.262
TEX,1992,682,753,77,0.321,0.393,0.25
TOR,1992,780,682,96,0.333,0.414,0.263
ATL,1991,749,644,94,0.328,0.393,0.258
BAL,1991,686,796,67,0.319,0.401,0.254
BOS,1991,731,712,84,0.34,0.401,0.269
CAL,1991,653,649,81,0.314,0.374,0.255
CHC,1991,695,734,77,0.309,0.39,0.253
CHW,1991,758,681,87,0.336,0.391,0.262
CIN,1991,689,691,74,0.32,0.403,0.258
CLE,1991,576,759,57,0.313,0.35,0.254
DET,1991,817,794,84,0.333,0.416,0.247
HOU,1991,605,717,65,0.309,0.347,0.244
KCR,1991,727,722,82,0.328,0.394,0.264
LAD,1991,665,565,93,0.326,0.359,0.253
MIL,1991,799,744,83,0.336,0.396,0.271
MIN,1991,776,652,95,0.344,0.42,0.28
MON,1991,579,655,71,0.308,0.357,0.246
NYM,1991,640,646,77,0.317,0.365,0.244
NYY,1991,674,777,71,0.316,0.387,0.256
OAK,1991,760,776,84,0.331,0.389,0.248
PHI,1991,629,680,78,0.303,0.358,0.241
PIT,1991,768,632,98,0.338,0.398,0.263
SDP,1991,636,646,84,0.31,0.362,0.244
SEA,1991,702,674,83,0.328,0.383,0.255
SFG,1991,649,697,75,0.309,0.381,0.246
STL,1991,651,648,84,0.322,0.357,0.255
TEX,1991,829,814,85,0.341,0.424,0.27
TOR,1991,684,622,91,0.322,0.4,0.257
ATL,1990,682,821,65,0.311,0.396,0.25
BAL,1990,669,698,76,0.33,0.37,0.245
BOS,1990,699,664,88,0.344,0.395,0.272
CAL,1990,690,706,80,0.329,0.391,0.26
CHC,1990,690,774,77,0.314,0.392,0.263
CHW,1990,682,633,94,0.32,0.379,0.258
CIN,1990,693,597,91,0.325,0.399,0.265
CLE,1990,732,737,77,0.324,0.391,0.267
DET,1990,750,754,79,0.337,0.409,0.259
HOU,1990,573,656,75,0.313,0.345,0.242
KCR,1990,707,709,75,0.328,0.395,0.267
LAD,1990,728,685,86,0.328,0.382,0.262
MIL,1990,732,760,74,0.32,0.384,0.256
MIN,1990,666,729,74,0.324,0.385,0.265
MON,1990,662,598,85,0.322,0.37,0.25
NYM,1990,775,613,91,0.323,0.408,0.256
NYY,1990,603,749,67,0.3,0.366,0.241
OAK,1990,733,570,103,0.336,0.391,0.254
PHI,1990,646,729,77,0.327,0.363,0.255
PIT,1990,733,619,95,0.33,0.405,0.259
SDP,1990,673,673,75,0.32,0.38,0.257
SEA,1990,640,680,77,0.333,0.373,0.259
SFG,1990,719,710,85,0.323,0.396,0.262
STL,1990,599,698,70,0.32,0.358,0.256
TEX,1990,676,696,83,0.331,0.376,0.259
TOR,1990,767,661,86,0.328,0.419,0.265
ATL,1989,584,680,63,0.298,0.35,0.234
BAL,1989,708,686,87,0.326,0.379,0.252
BOS,1989,774,735,83,0.351,0.403,0.277
CAL,1989,669,578,91,0.311,0.386,0.256
CHC,1989,702,623,93,0.319,0.387,0.261
CHW,1989,693,750,69,0.328,0.383,0.271
CIN,1989,632,691,75,0.309,0.37,0.247
CLE,1989,604,654,73,0.31,0.365,0.245
DET,1989,617,816,59,0.318,0.351,0.242
HOU,1989,647,669,86,0.306,0.345,0.239
KCR,1989,690,635,92,0.329,0.373,0.261
LAD,1989,554,536,77,0.306,0.339,0.24
MIL,1989,707,679,81,0.318,0.382,0.259
MIN,1989,740,738,80,0.334,0.402,0.276
MON,1989,632,630,81,0.319,0.361,0.247
NYM,1989,683,595,87,0.311,0.385,0.246
NYY,1989,698,792,74,0.331,0.391,0.269
OAK,1989,712,576,99,0.331,0.381,0.261
PHI,1989,629,735,67,0.314,0.364,0.243
PIT,1989,637,680,74,0.311,0.359,0.241
SDP,1989,642,626,89,0.319,0.369,0.251
SEA,1989,694,728,73,0.32,0.384,0.257
SFG,1989,699,600,92,0.316,0.39,0.25
STL,1989,632,608,86,0.321,0.363,0.258
TEX,1989,695,714,83,0.326,0.394,0.263
TOR,1989,731,651,89,0.323,0.398,0.26
ATL,1988,555,741,54,0.298,0.348,0.242
BAL,1988,550,789,54,0.305,0.359,0.238
BOS,1988,813,689,89,0.357,0.42,0.283
CAL,1988,714,771,75,0.321,0.385,0.261
CHC,1988,660,694,77,0.31,0.383,0.261
CHW,1988,631,757,71,0.303,0.37,0.244
CIN,1988,641,596,87,0.309,0.368,0.246
CLE,1988,666,731,78,0.314,0.387,0.261
DET,1988,703,658,88,0.324,0.378,0.25
HOU,1988,617,631,82,0.306,0.351,0.244
KCR,1988,704,648,84,0.321,0.391,0.259
LAD,1988,628,544,94,0.305,0.352,0.248
MIL,1988,682,616,87,0.314,0.375,0.257
MIN,1988,759,672,91,0.34,0.421,0.274
MON,1988,628,592,81,0.309,0.373,0.251
NYM,1988,703,532,100,0.325,0.396,0.256
NYY,1988,772,748,85,0.333,0.395,0.263
OAK,1988,800,620,104,0.336,0.399,0.263
PHI,1988,597,734,65,0.306,0.355,0.239
PIT,1988,651,616,85,0.317,0.369,0.247
SDP,1988,594,583,83,0.31,0.351,0.247
SEA,1988,664,744,68,0.317,0.398,0.257
SFG,1988,670,626,83,0.318,0.368,0.248
STL,1988,578,633,76,0.309,0.337,0.249
TEX,1988,637,735,70,0.32,0.368,0.252
TOR,1988,763,680,87,0.332,0.419,0.268
ATL,1987,747,829,69,0.339,0.403,0.258
BAL,1987,729,880,67,0.322,0.418,0.258
BOS,1987,842,825,78,0.352,0.43,0.278
CAL,1987,770,803,75,0.326,0.401,0.252
CHC,1987,720,801,76,0.326,0.432,0.264
CHW,1987,748,746,77,0.319,0.415,0.258
CIN,1987,783,752,84,0.33,0.427,0.266
CLE,1987,742,957,61,0.324,0.422,0.263
DET,1987,896,735,98,0.349,0.451,0.272
HOU,1987,648,678,76,0.318,0.373,0.253
KCR,1987,715,691,83,0.328,0.412,0.262
LAD,1987,635,675,73,0.309,0.371,0.252
MIL,1987,862,817,91,0.346,0.428,0.276
MIN,1987,786,806,85,0.328,0.43,0.261
MON,1987,741,720,91,0.328,0.401,0.265
NYM,1987,823,698,92,0.339,0.434,0.268
NYY,1987,788,758,89,0.336,0.418,0.262
OAK,1987,806,789,81,0.333,0.428,0.26
PHI,1987,702,749,80,0.327,0.41,0.254
PIT,1987,723,744,80,0.33,0.403,0.264
SDP,1987,668,763,65,0.332,0.378,0.26
SEA,1987,760,801,78,0.335,0.428,0.272
SFG,1987,783,669,90,0.324,0.43,0.26
STL,1987,798,693,95,0.34,0.378,0.263
TEX,1987,823,849,75,0.333,0.43,0.266
TOR,1987,845,655,96,0.336,0.446,0.269
ATL,1986,615,719,72,0.319,0.381,0.25
BAL,1986,708,760,73,0.327,0.395,0.258
BOS,1986,794,696,95,0.346,0.415,0.271
CAL,1986,786,684,92,0.338,0.404,0.255
CHC,1986,680,781,70,0.318,0.398,0.256
CHW,1986,644,699,72,0.31,0.363,0.247
CIN,1986,732,717,86,0.325,0.387,0.254
CLE,1986,831,841,84,0.337,0.43,0.284
DET,1986,798,714,87,0.338,0.424,0.263
HOU,1986,654,569,96,0.322,0.381,0.255
KCR,1986,654,673,76,0.313,0.39,0.252
LAD,1986,638,679,73,0.313,0.37,0.251
MIL,1986,667,734,77,0.321,0.385,0.255
MIN,1986,741,839,71,0.325,0.428,0.261
MON,1986,637,688,78,0.322,0.379,0.254
NYM,1986,783,578,108,0.339,0.401,0.263
NYY,1986,797,738,90,0.347,0.43,0.271
OAK,1986,731,760,76,0.322,0.39,0.252
PHI,1986,739,713,86,0.327,0.4,0.253
PIT,1986,663,700,64,0.321,0.374,0.25
SDP,1986,656,723,74,0.321,0.388,0.261
SEA,1986,718,835,67,0.326,0.399,0.253
SFG,1986,698,618,83,0.322,0.375,0.253
STL,1986,601,611,79,0.309,0.327,0.236
TEX,1986,771,743,87,0.331,0.428,0.267
TOR,1986,809,733,86,0.329,0.427,0.269
ATL,1985,632,781,66,0.315,0.363,0.246
BAL,1985,818,764,83,0.336,0.43,0.263
BOS,1985,800,720,81,0.347,0.429,0.282
CAL,1985,732,703,90,0.333,0.386,0.251
CHC,1985,686,729,77,0.324,0.39,0.254
CHW,1985,736,720,85,0.315,0.392,0.253
CIN,1985,677,666,89,0.327,0.376,0.255
CLE,1985,729,861,60,0.324,0.385,0.265
DET,1985,729,688,84,0.318,0.424,0.253
HOU,1985,706,691,83,0.319,0.388,0.261
KCR,1985,687,639,91,0.313,0.401,0.252
LAD,1985,682,579,95,0.328,0.382,0.261
MIL,1985,690,802,71,0.319,0.379,0.263
MIN,1985,705,782,77,0.326,0.407,0.264
MON,1985,633,636,84,0.31,0.375,0.247
NYM,1985,695,568,98,0.323,0.385,0.257
NYY,1985,839,660,97,0.344,0.425,0.267
OAK,1985,757,787,77,0.325,0.401,0.264
PHI,1985,667,673,75,0.312,0.383,0.245
PIT,1985,568,708,57,0.311,0.347,0.247
SDP,1985,650,622,83,0.32,0.368,0.255
SEA,1985,719,818,74,0.326,0.412,0.255
SFG,1985,556,674,62,0.299,0.348,0.233
STL,1985,747,572,101,0.335,0.379,0.264
TEX,1985,617,785,62,0.322,0.381,0.253
TOR,1985,759,588,99,0.331,0.425,0.269
ATL,1984,632,655,80,0.317,0.361,0.247
BAL,1984,681,667,85,0.328,0.391,0.252
BOS,1984,810,764,86,0.341,0.441,0.283
CAL,1984,696,697,81,0.319,0.381,0.249
CHC,1984,762,658,96,0.331,0.397,0.26
CHW,1984,679,736,74,0.314,0.395,0.247
CIN,1984,627,747,70,0.313,0.356,0.244
CLE,1984,761,766,75,0.335,0.384,0.265
DET,1984,829,643,104,0.342,0.432,0.271
HOU,1984,693,630,80,0.323,0.371,0.264
KCR,1984,673,686,84,0.317,0.399,0.268
LAD,1984,580,600,79,0.306,0.348,0.244
MIL,1984,641,734,67,0.317,0.37,0.262
MIN,1984,673,675,81,0.318,0.385,0.265
MON,1984,593,585,78,0.312,0.362,0.251
NYM,1984,652,676,90,0.32,0.369,0.257
NYY,1984,758,679,87,0.339,0.404,0.276
OAK,1984,738,796,77,0.327,0.404,0.259
PHI,1984,720,690,81,0.333,0.407,0.266
PIT,1984,615,567,75,0.31,0.363,0.255
SDP,1984,686,634,92,0.317,0.371,0.259
SEA,1984,682,774,74,0.324,0.384,0.258
SFG,1984,682,807,66,0.328,0.375,0.265
